login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,user_view_type,site_admin,score
jstaf,7572993,MDQ6VXNlcjc1NzI5OTM=,https://avatars.githubusercontent.com/u/7572993?v=4,,https://api.github.com/users/jstaf,https://github.com/jstaf,https://api.github.com/users/jstaf/followers,https://api.github.com/users/jstaf/following{/other_user},https://api.github.com/users/jstaf/gists{/gist_id},https://api.github.com/users/jstaf/starred{/owner}{/repo},https://api.github.com/users/jstaf/subscriptions,https://api.github.com/users/jstaf/orgs,https://api.github.com/users/jstaf/repos,https://api.github.com/users/jstaf/events{/privacy},https://api.github.com/users/jstaf/received_events,User,public,False,1.0
NickStrupat,782521,MDQ6VXNlcjc4MjUyMQ==,https://avatars.githubusercontent.com/u/782521?v=4,,https://api.github.com/users/NickStrupat,https://github.com/NickStrupat,https://api.github.com/users/NickStrupat/followers,https://api.github.com/users/NickStrupat/following{/other_user},https://api.github.com/users/NickStrupat/gists{/gist_id},https://api.github.com/users/NickStrupat/starred{/owner}{/repo},https://api.github.com/users/NickStrupat/subscriptions,https://api.github.com/users/NickStrupat/orgs,https://api.github.com/users/NickStrupat/repos,https://api.github.com/users/NickStrupat/events{/privacy},https://api.github.com/users/NickStrupat/received_events,User,public,False,1.0
kiosion,34040324,MDQ6VXNlcjM0MDQwMzI0,https://avatars.githubusercontent.com/u/34040324?v=4,,https://api.github.com/users/kiosion,https://github.com/kiosion,https://api.github.com/users/kiosion/followers,https://api.github.com/users/kiosion/following{/other_user},https://api.github.com/users/kiosion/gists{/gist_id},https://api.github.com/users/kiosion/starred{/owner}{/repo},https://api.github.com/users/kiosion/subscriptions,https://api.github.com/users/kiosion/orgs,https://api.github.com/users/kiosion/repos,https://api.github.com/users/kiosion/events{/privacy},https://api.github.com/users/kiosion/received_events,User,public,False,1.0
nickpresta,49090,MDQ6VXNlcjQ5MDkw,https://avatars.githubusercontent.com/u/49090?v=4,,https://api.github.com/users/nickpresta,https://github.com/nickpresta,https://api.github.com/users/nickpresta/followers,https://api.github.com/users/nickpresta/following{/other_user},https://api.github.com/users/nickpresta/gists{/gist_id},https://api.github.com/users/nickpresta/starred{/owner}{/repo},https://api.github.com/users/nickpresta/subscriptions,https://api.github.com/users/nickpresta/orgs,https://api.github.com/users/nickpresta/repos,https://api.github.com/users/nickpresta/events{/privacy},https://api.github.com/users/nickpresta/received_events,User,public,False,1.0
ChigboIO,15727628,MDQ6VXNlcjE1NzI3NjI4,https://avatars.githubusercontent.com/u/15727628?v=4,,https://api.github.com/users/ChigboIO,https://github.com/ChigboIO,https://api.github.com/users/ChigboIO/followers,https://api.github.com/users/ChigboIO/following{/other_user},https://api.github.com/users/ChigboIO/gists{/gist_id},https://api.github.com/users/ChigboIO/starred{/owner}{/repo},https://api.github.com/users/ChigboIO/subscriptions,https://api.github.com/users/ChigboIO/orgs,https://api.github.com/users/ChigboIO/repos,https://api.github.com/users/ChigboIO/events{/privacy},https://api.github.com/users/ChigboIO/received_events,User,public,True,1.0
radioblahaj,21000033,MDQ6VXNlcjIxMDAwMDMz,https://avatars.githubusercontent.com/u/21000033?v=4,,https://api.github.com/users/radioblahaj,https://github.com/radioblahaj,https://api.github.com/users/radioblahaj/followers,https://api.github.com/users/radioblahaj/following{/other_user},https://api.github.com/users/radioblahaj/gists{/gist_id},https://api.github.com/users/radioblahaj/starred{/owner}{/repo},https://api.github.com/users/radioblahaj/subscriptions,https://api.github.com/users/radioblahaj/orgs,https://api.github.com/users/radioblahaj/repos,https://api.github.com/users/radioblahaj/events{/privacy},https://api.github.com/users/radioblahaj/received_events,User,public,False,1.0
dgomesbr,433971,MDQ6VXNlcjQzMzk3MQ==,https://avatars.githubusercontent.com/u/433971?v=4,,https://api.github.com/users/dgomesbr,https://github.com/dgomesbr,https://api.github.com/users/dgomesbr/followers,https://api.github.com/users/dgomesbr/following{/other_user},https://api.github.com/users/dgomesbr/gists{/gist_id},https://api.github.com/users/dgomesbr/starred{/owner}{/repo},https://api.github.com/users/dgomesbr/subscriptions,https://api.github.com/users/dgomesbr/orgs,https://api.github.com/users/dgomesbr/repos,https://api.github.com/users/dgomesbr/events{/privacy},https://api.github.com/users/dgomesbr/received_events,User,public,False,1.0
douglasmakey,8400576,MDQ6VXNlcjg0MDA1NzY=,https://avatars.githubusercontent.com/u/8400576?v=4,,https://api.github.com/users/douglasmakey,https://github.com/douglasmakey,https://api.github.com/users/douglasmakey/followers,https://api.github.com/users/douglasmakey/following{/other_user},https://api.github.com/users/douglasmakey/gists{/gist_id},https://api.github.com/users/douglasmakey/starred{/owner}{/repo},https://api.github.com/users/douglasmakey/subscriptions,https://api.github.com/users/douglasmakey/orgs,https://api.github.com/users/douglasmakey/repos,https://api.github.com/users/douglasmakey/events{/privacy},https://api.github.com/users/douglasmakey/received_events,User,public,False,1.0
eadamceylan,102334913,U_kgDOBhmBwQ,https://avatars.githubusercontent.com/u/102334913?v=4,,https://api.github.com/users/eadamceylan,https://github.com/eadamceylan,https://api.github.com/users/eadamceylan/followers,https://api.github.com/users/eadamceylan/following{/other_user},https://api.github.com/users/eadamceylan/gists{/gist_id},https://api.github.com/users/eadamceylan/starred{/owner}{/repo},https://api.github.com/users/eadamceylan/subscriptions,https://api.github.com/users/eadamceylan/orgs,https://api.github.com/users/eadamceylan/repos,https://api.github.com/users/eadamceylan/events{/privacy},https://api.github.com/users/eadamceylan/received_events,User,public,False,1.0
thejmazz,1270998,MDQ6VXNlcjEyNzA5OTg=,https://avatars.githubusercontent.com/u/1270998?v=4,,https://api.github.com/users/thejmazz,https://github.com/thejmazz,https://api.github.com/users/thejmazz/followers,https://api.github.com/users/thejmazz/following{/other_user},https://api.github.com/users/thejmazz/gists{/gist_id},https://api.github.com/users/thejmazz/starred{/owner}{/repo},https://api.github.com/users/thejmazz/subscriptions,https://api.github.com/users/thejmazz/orgs,https://api.github.com/users/thejmazz/repos,https://api.github.com/users/thejmazz/events{/privacy},https://api.github.com/users/thejmazz/received_events,User,public,False,1.0
michaelchi08,3488611,MDQ6VXNlcjM0ODg2MTE=,https://avatars.githubusercontent.com/u/3488611?v=4,,https://api.github.com/users/michaelchi08,https://github.com/michaelchi08,https://api.github.com/users/michaelchi08/followers,https://api.github.com/users/michaelchi08/following{/other_user},https://api.github.com/users/michaelchi08/gists{/gist_id},https://api.github.com/users/michaelchi08/starred{/owner}{/repo},https://api.github.com/users/michaelchi08/subscriptions,https://api.github.com/users/michaelchi08/orgs,https://api.github.com/users/michaelchi08/repos,https://api.github.com/users/michaelchi08/events{/privacy},https://api.github.com/users/michaelchi08/received_events,User,public,False,1.0
jameskeane,186679,MDQ6VXNlcjE4NjY3OQ==,https://avatars.githubusercontent.com/u/186679?v=4,,https://api.github.com/users/jameskeane,https://github.com/jameskeane,https://api.github.com/users/jameskeane/followers,https://api.github.com/users/jameskeane/following{/other_user},https://api.github.com/users/jameskeane/gists{/gist_id},https://api.github.com/users/jameskeane/starred{/owner}{/repo},https://api.github.com/users/jameskeane/subscriptions,https://api.github.com/users/jameskeane/orgs,https://api.github.com/users/jameskeane/repos,https://api.github.com/users/jameskeane/events{/privacy},https://api.github.com/users/jameskeane/received_events,User,public,False,1.0
svanoort,5400948,MDQ6VXNlcjU0MDA5NDg=,https://avatars.githubusercontent.com/u/5400948?v=4,,https://api.github.com/users/svanoort,https://github.com/svanoort,https://api.github.com/users/svanoort/followers,https://api.github.com/users/svanoort/following{/other_user},https://api.github.com/users/svanoort/gists{/gist_id},https://api.github.com/users/svanoort/starred{/owner}{/repo},https://api.github.com/users/svanoort/subscriptions,https://api.github.com/users/svanoort/orgs,https://api.github.com/users/svanoort/repos,https://api.github.com/users/svanoort/events{/privacy},https://api.github.com/users/svanoort/received_events,User,public,False,1.0
hannes-brt,323139,MDQ6VXNlcjMyMzEzOQ==,https://avatars.githubusercontent.com/u/323139?v=4,,https://api.github.com/users/hannes-brt,https://github.com/hannes-brt,https://api.github.com/users/hannes-brt/followers,https://api.github.com/users/hannes-brt/following{/other_user},https://api.github.com/users/hannes-brt/gists{/gist_id},https://api.github.com/users/hannes-brt/starred{/owner}{/repo},https://api.github.com/users/hannes-brt/subscriptions,https://api.github.com/users/hannes-brt/orgs,https://api.github.com/users/hannes-brt/repos,https://api.github.com/users/hannes-brt/events{/privacy},https://api.github.com/users/hannes-brt/received_events,User,public,False,1.0
FabioBatSilva,588172,MDQ6VXNlcjU4ODE3Mg==,https://avatars.githubusercontent.com/u/588172?v=4,,https://api.github.com/users/FabioBatSilva,https://github.com/FabioBatSilva,https://api.github.com/users/FabioBatSilva/followers,https://api.github.com/users/FabioBatSilva/following{/other_user},https://api.github.com/users/FabioBatSilva/gists{/gist_id},https://api.github.com/users/FabioBatSilva/starred{/owner}{/repo},https://api.github.com/users/FabioBatSilva/subscriptions,https://api.github.com/users/FabioBatSilva/orgs,https://api.github.com/users/FabioBatSilva/repos,https://api.github.com/users/FabioBatSilva/events{/privacy},https://api.github.com/users/FabioBatSilva/received_events,User,public,False,1.0
KooroshRH,46434958,MDQ6VXNlcjQ2NDM0OTU4,https://avatars.githubusercontent.com/u/46434958?v=4,,https://api.github.com/users/KooroshRH,https://github.com/KooroshRH,https://api.github.com/users/KooroshRH/followers,https://api.github.com/users/KooroshRH/following{/other_user},https://api.github.com/users/KooroshRH/gists{/gist_id},https://api.github.com/users/KooroshRH/starred{/owner}{/repo},https://api.github.com/users/KooroshRH/subscriptions,https://api.github.com/users/KooroshRH/orgs,https://api.github.com/users/KooroshRH/repos,https://api.github.com/users/KooroshRH/events{/privacy},https://api.github.com/users/KooroshRH/received_events,User,public,False,1.0
